date,infected,dead,recovered,inactive,active,new,new_deaths,new_3,new_7,new_14,new_deaths_7,new_deaths_14,new_deaths_7_7
2020-04-10,5955,181,318,499,5456,380.0,7.0,369.0,367.4285714285714,326.14285714285717,15.714285714285715,11.785714285714285,13.204081632653056
2020-04-11,6356,208,375,583,5773,401.0,27.0,383.66666666666674,389.8571428571428,337.0,18.428571428571427,13.571428571428573,14.591836734693874
2020-04-12,6674,232,439,671,6003,318.0,24.0,366.33333333333326,367.4285714285714,343.71428571428567,19.714285714285715,15.0,15.93877551020408
2020-04-13,6932,245,487,732,6200,258.0,13.0,325.6666666666667,359.8571428571428,348.3571428571428,19.714285714285715,15.285714285714285,17.204081632653054
2020-04-14,7202,263,618,881,6321,270.0,18.0,282.0,336.2857142857143,349.3571428571428,19.142857142857142,16.428571428571427,17.979591836734688
2020-04-15,7582,286,668,954,6628,380.0,23.0,302.6666666666667,339.57142857142856,359.1428571428572,18.285714285714285,17.357142857142858,18.244897959183668
2020-04-16,7918,314,774,1088,6830,336.0,28.0,328.6666666666667,334.7142857142857,355.1428571428572,20.0,18.357142857142858,18.7142857142857
2020-04-17,8375,332,866,1198,7177,457.0,18.0,391.0,345.71428571428567,356.57142857142856,21.571428571428577,18.642857142857142,19.551020408163254
2020-04-18,8709,347,981,1328,7381,334.0,15.0,375.66666666666674,336.14285714285717,363.0,19.857142857142858,19.142857142857142,19.755102040816322
2020-04-19,9224,360,1040,1400,7824,515.0,13.0,435.33333333333326,364.28571428571433,365.8571428571428,18.285714285714285,19.0,19.551020408163254
2020-04-20,9530,380,1133,1513,8017,306.0,20.0,385.0,371.1428571428572,365.5,19.285714285714285,19.5,19.489795918367342
2020-04-21,9793,400,1297,1697,8096,263.0,20.0,361.33333333333326,370.1428571428572,353.21428571428567,19.571428571428573,19.357142857142858,19.551020408163254
2020-04-22,10106,425,1513,1938,8168,313.0,25.0,294.0,360.57142857142856,350.07142857142856,19.857142857142858,19.071428571428573,19.775510204081627
2020-04-23,10448,453,1740,2193,8255,342.0,28.0,306.0,361.4285714285714,348.07142857142856,19.857142857142858,19.928571428571427,19.755102040816322
2020-04-24,10829,493,1944,2437,8392,381.0,40.0,345.33333333333326,350.57142857142856,348.1428571428572,23.0,22.285714285714285,19.95918367346938
2020-04-25,11210,523,2126,2649,8561,381.0,30.0,368.0,357.28571428571433,346.71428571428567,25.142857142857146,22.5,20.7142857142857
2020-04-26,11554,535,2265,2800,8754,344.0,12.0,368.66666666666674,332.85714285714283,348.57142857142856,25.0,21.642857142857146,21.673469387755095
2020-04-27,11839,561,2466,3027,8812,285.0,26.0,336.6666666666667,329.85714285714283,350.5,25.857142857142854,22.57142857142857,22.61224489795918
2020-04-28,12155,595,2655,3250,8905,316.0,34.0,315.0,337.42857142857144,353.78571428571433,27.857142857142854,23.714285714285715,23.795918367346932
2020-04-29,12577,623,3025,3648,8929,422.0,28.0,341.0,353.0,356.78571428571433,28.285714285714285,24.07142857142857,24.999999999999996
2020-04-30,12877,643,3236,3879,8998,300.0,20.0,346.0,347.0,354.21428571428567,27.142857142857146,23.5,26.040816326530603
2020-05-01,13105,650,3491,4141,8964,228.0,7.0,316.6666666666667,325.14285714285717,337.85714285714283,22.428571428571423,22.714285714285715,25.959183673469376
2020-05-02,13375,662,3762,4424,8951,270.0,12.0,266.0,309.2857142857143,333.2857142857143,19.857142857142858,22.5,25.20408163265305
2020-05-03,13693,677,3945,4622,9071,318.0,15.0,272.0,305.57142857142856,319.2142857142857,20.285714285714285,22.642857142857146,24.53061224489795
2020-05-04,14006,696,4095,4791,9215,313.0,19.0,300.3333333333333,309.57142857142856,319.7142857142857,19.285714285714285,22.57142857142857,23.59183673469386
2020-05-05,14412,715,4280,4995,9417,406.0,19.0,345.66666666666674,322.42857142857144,329.92857142857144,17.142857142857142,22.5,22.061224489795904
2020-05-06,14723,733,4655,5388,9335,311.0,18.0,343.3333333333333,306.57142857142856,329.7857142857143,15.714285714285715,22.0,20.26530612244897
2020-05-07,15026,755,4862,5617,9409,303.0,22.0,340.0,307.0,327.0,16.0,21.571428571428577,18.673469387755087
2020-05-08,15363,775,5184,5959,9404,337.0,20.0,317.0,322.57142857142856,323.85714285714283,17.857142857142858,20.142857142857142,18.020408163265294
2020-05-09,15651,784,5437,6221,9430,288.0,9.0,309.3333333333333,325.14285714285717,317.2142857142857,17.428571428571427,18.642857142857142,17.673469387755087
2020-05-10,15996,799,5698,6497,9499,345.0,15.0,323.3333333333333,329.0,317.2857142857143,17.428571428571427,18.857142857142858,17.265306122448973
2020-05-11,16326,810,5816,6626,9700,330.0,11.0,321.0,331.42857142857144,320.5,16.285714285714285,17.785714285714285,16.83673469387754
2020-05-12,16882,838,6131,6969,9913,556.0,28.0,410.33333333333326,352.8571428571428,337.64285714285717,17.571428571428573,17.357142857142858,16.89795918367346
2020-05-13,17204,861,6410,7271,9933,322.0,23.0,402.66666666666674,354.42857142857144,330.5,18.285714285714285,17.0,17.265306122448973
2020-05-14,17615,883,6696,7579,10036,411.0,22.0,429.66666666666674,369.8571428571428,338.42857142857144,18.285714285714285,17.142857142857142,17.591836734693867
2020-05-15,18016,907,6918,7825,10191,401.0,24.0,378.0,379.0,350.78571428571433,18.857142857142858,18.357142857142858,17.734693877551013
2020-05-16,18257,915,7175,8090,10167,241.0,8.0,351.0,372.28571428571433,348.71428571428567,18.714285714285715,18.071428571428573,17.91836734693877
2020-05-17,18529,925,7451,8376,10153,272.0,10.0,304.6666666666667,361.8571428571428,345.42857142857144,18.0,17.714285714285715,17.999999999999993
2020-05-18,18885,936,7628,8564,10321,356.0,11.0,289.6666666666667,365.57142857142856,348.5,18.0,17.142857142857142,18.244897959183668
2020-05-19,19267,948,7903,8851,10416,382.0,12.0,336.6666666666667,340.7142857142857,346.78571428571433,15.714285714285715,16.642857142857142,17.979591836734688
2020-05-20,19738,962,8183,9145,10593,471.0,14.0,403.0,362.0,358.21428571428567,14.428571428571427,16.357142857142858,17.428571428571427
2020-05-21,20141,972,8452,9424,10717,403.0,10.0,418.66666666666674,360.8571428571428,365.3571428571428,12.714285714285715,15.5,16.632653061224488
