region,date,new,infected,new_deaths,dead,new_recoveries,recovered,new_3,new_7,new_14,new_deaths_7,new_deaths_14,new_deaths_7_7
opolskie,2021-10-12,20,70673,0,2072,14,68178,18.33333333333333,19.0,17.357142857142858,0.14285714285714285,0.9285714285714286,1.020408163265317
opolskie,2021-10-13,36,70709,1,2073,7,68185,22.0,21.285714285714285,18.928571428571427,0.14285714285714285,1.0,0.7755102040816436
opolskie,2021-10-14,32,70741,2,2075,18,68203,29.33333333333333,22.428571428571423,19.642857142857142,0.42857142857142855,1.0,0.6122448979591947
opolskie,2021-10-15,38,70779,1,2076,16,68219,35.333333333333336,25.57142857142857,21.071428571428573,0.5714285714285714,1.0,0.4897959183673578
opolskie,2021-10-16,34,70813,1,2077,28,68247,34.666666666666664,27.857142857142854,22.428571428571423,0.7142857142857143,0.7142857142857143,0.4897959183673578
opolskie,2021-10-17,32,70845,0,2077,21,68268,34.666666666666664,28.857142857142854,23.57142857142857,0.7142857142857143,0.7142857142857143,0.4897959183673578
opolskie,2021-10-18,22,70867,0,2077,18,68286,29.33333333333333,30.57142857142857,24.57142857142857,0.7142857142857143,0.7142857142857143,0.4897959183673578
opolskie,2021-10-19,51,70918,5,2082,25,68311,35.0,35.0,27.0,1.4285714285714286,0.7857142857142857,0.6734693877551129
opolskie,2021-10-20,56,70974,2,2084,10,68321,43.0,37.857142857142854,29.57142857142857,1.5714285714285714,0.8571428571428571,0.8775510204081741
opolskie,2021-10-21,89,71063,1,2085,23,68344,65.33333333333333,46.0,34.214285714285715,1.4285714285714286,0.9285714285714286,1.020408163265317
opolskie,2021-10-22,84,71147,0,2085,39,68383,76.33333333333333,52.57142857142857,39.07142857142857,1.2857142857142858,0.9285714285714286,1.1224489795918478
opolskie,2021-10-23,87,71234,3,2088,31,68414,86.66666666666669,60.14285714285714,44.0,1.5714285714285714,1.1428571428571428,1.2448979591836846
opolskie,2021-10-24,77,71311,0,2088,8,68422,82.66666666666667,66.57142857142857,47.714285714285715,1.5714285714285714,1.1428571428571428,1.3673469387755213
opolskie,2021-10-25,39,71350,0,2088,40,68462,67.66666666666667,69.0,49.78571428571429,1.5714285714285714,1.1428571428571428,1.489795918367358
opolskie,2021-10-26,81,71431,2,2090,32,68494,65.66666666666667,73.28571428571429,54.14285714285714,1.1428571428571428,1.2857142857142858,1.448979591836746
opolskie,2021-10-27,119,71550,1,2091,20,68514,79.66666666666667,82.28571428571429,60.07142857142857,1.0,1.2857142857142858,1.3673469387755213
opolskie,2021-10-28,134,71684,0,2091,47,68561,111.33333333333331,88.7142857142857,67.35714285714286,0.8571428571428571,1.1428571428571428,1.2857142857142971
opolskie,2021-10-29,111,71795,0,2091,50,68611,121.33333333333331,92.57142857142857,72.57142857142857,0.8571428571428571,1.0714285714285714,1.2244897959183785
opolskie,2021-10-30,156,71951,1,2092,86,68697,133.66666666666666,102.42857142857143,81.28571428571429,0.5714285714285714,1.0714285714285714,1.0816326530612357
opolskie,2021-10-31,147,72098,0,2092,81,68778,138.0,112.42857142857143,89.5,0.5714285714285714,1.0714285714285714,0.9387755102040928
podlaskie,2020-03-04,0,0,0,0,0,0,,,,,,
podlaskie,2020-03-05,0,0,0,0,0,0,,,,,,
podlaskie,2020-03-06,0,0,0,0,0,0,0.0,,,,,
podlaskie,2020-03-07,0,0,0,0,0,0,0.0,,,,,
podlaskie,2020-03-08,0,0,0,0,0,0,0.0,,,,,
podlaskie,2020-03-09,0,0,0,0,0,0,0.0,,,,,
podlaskie,2020-03-10,0,0,0,0,0,0,0.0,0.0,,0.0,,
podlaskie,2020-03-11,0,0,0,0,0,0,0.0,0.0,,0.0,,
podlaskie,2020-03-12,0,0,0,0,0,0,0.0,0.0,,0.0,,
podlaskie,2020-03-13,0,0,0,0,0,0,0.0,0.0,,0.0,,
podlaskie,2020-03-14,0,0,0,0,0,0,0.0,0.0,,0.0,,
podlaskie,2020-03-15,0,0,0,0,0,0,0.0,0.0,,0.0,,
podlaskie,2020-03-16,0,0,0,0,0,0,0.0,0.0,,0.0,,0.0
podlaskie,2020-03-17,1,1,0,0,0,0,0.3333333333333333,0.14285714285714285,0.07142857142857142,0.0,0.0,0.0
podlaskie,2020-03-18,0,1,0,0,0,0,0.3333333333333333,0.14285714285714285,0.07142857142857142,0.0,0.0,0.0
podlaskie,2020-03-19,0,1,0,0,0,0,0.3333333333333333,0.14285714285714285,0.07142857142857142,0.0,0.0,0.0
podlaskie,2020-03-20,2,3,0,0,0,0,0.6666666666666666,0.42857142857142855,0.21428571428571427,0.0,0.0,0.0
podlaskie,2020-03-21,2,5,0,0,0,0,1.3333333333333333,0.7142857142857143,0.35714285714285715,0.0,0.0,0.0
